,url,title,description,category,location,project_id
1088,https://www.kickstarter.com/projects/clarey-jane/froggy-and-friends?ref=discovery_popular,Froggy and Friends,Froggy Pins,Art,"Tulsa, OK",1538276323
1089,https://www.kickstarter.com/projects/348065959/crossing-animal-divas-enamel-pins?ref=discovery_popular,Crossing Animal Divas Enamel Pins - ALL Designs Unlocked!!,A collection of beautiful Animal-Divas!,Apparel,"Evansville, IN",865803875
1090,https://www.kickstarter.com/projects/luenfire/paraphernalia?ref=discovery_popular,paraphernalia | bdsm themed enamel pins,paraphernalia is a set of black and white soft enamel pins inspired by the themes of bdsm.,Art,"New York, NY",829722158
1091,https://www.kickstarter.com/projects/skojika/zos-kias-volume-13?ref=discovery_popular,Zos Kias Volume 13,"Volume 13 of the webcomic Zos Kias, featuring chapters 61-65, the continuation of the vampire arc!",Webcomics,"Schererville, IN",1900358066
1092,https://www.kickstarter.com/projects/fictiveco/magical-studies-enamel-pins-part-2?ref=discovery_popular,Magical Studies Enamel Pins : Part 2,Im back with Part 2 of my Harry Potter Classes inspired Enamel Pins,Art,"Singapore, Singapore",1757373250
1093,https://www.kickstarter.com/projects/publisherssdg/veil-of-the-void-spell-cards?ref=discovery_popular,Veil of the Void Reforged,The Sci-fi Fantasy TTRPG and Spell Cards with a focus on Fun and Storytelling.,Tabletop Games,"Colorado Springs, CO",433957088
1094,https://www.kickstarter.com/projects/didymostraps/4lments-reinterpreting-marine-nationale-straps-on-leather?ref=discovery_popular,"4L'MENTS, reinterpreting Marine Nationale straps on leather",The first leather watch straps inspired on 'Marine Nationale' elastic parachute strap design. 100% Handmade using premium leathers,Accessories,"Barcelona, Spain",943903312
1095,https://www.kickstarter.com/projects/terranempire/tome-of-encounters-5e?ref=discovery_popular,Tome of Encounters (5e),A repository of encounters to add a quick bit of danger to any 5e adventure or campaign!,Games,"Pollock Pines, CA",1478588025
1096,https://www.kickstarter.com/projects/kellyquinzeldaydream/nightmares-colouring-book?ref=discovery_popular,Nightmares Colouring Book,"Kelly Quinzel's illustration contains narrative elements. Not really complete stories, with a beginning, a storyline or an end.",Illustration,"Manchester, UK",1648614825
1097,https://www.kickstarter.com/projects/kutzera/paul-hayden-kirk-book?ref=discovery_popular,Paul Hayden Kirk Book,"An illustrated book on the mid-century architect, Paul Hayden Kirk.",Art Books,"Seattle, WA",886574300
1098,https://www.kickstarter.com/projects/2114919621/new-collection-vfd-watch?ref=discovery_popular,Futuristic Nixie Watch / VFD technology,Our team returned to you again! We want to show a new collection of absolutely unique metal and plastic watches based on nixie tubes.,Technology,"Cherkassy, Ukraine",292609376
1099,https://www.kickstarter.com/projects/letters-to-myself/letters-in-lockdown-a-covid-19-writing-project?ref=discovery_popular,Letters in Lockdown: A COVID-19 Writing Project,Letters in Lockdown is a writing project designed to help us process and remember the personal experience of living through COVID-19.,Print,"London, UK",762773276
1100,https://www.kickstarter.com/projects/wicomics/comics-illustration-guardian-of-time-volume-one?ref=discovery_popular,Guardians of Time: #1 Parallel Universe,A limited-edition science fiction adventure that introduces readers to new superheroes and parallel universes!,Comics,"London, UK",659965961
1101,https://www.kickstarter.com/projects/399142301/the-perfect-pants-0?ref=discovery_popular,The Perfect Pants,MagicFlex Expandable Waist Pants For Men,Apparel,"Austin, TX",1645282813
1102,https://www.kickstarter.com/projects/dale-dansie-jaw/the-chefs-countertop?ref=discovery_popular,The Chefs Countertop,"Specialized wood cutting boards, serving trays, peppermill grinders, and trivets. All made one at a time with love.",Woodworking,"Riverton, UT",1481802742
1103,https://www.kickstarter.com/projects/seansawakening/did-you-even-know-i-was-here?ref=discovery_popular,Did You Even Know I Was Here?,An insomnia induced poetic journey through Paris.,Poetry,"Hyattsville, MD",103706573
1104,https://www.kickstarter.com/projects/poparena/nick-knacks-the-book-a-show-by-show-history-of-nickelodeon?ref=discovery_popular,Nick Knacks the Book: A Show-by-Show History of Nickelodeon,"The first book in a series on the history of children's cable channel Nickelodeon, breaking it down show-by-show.",Nonfiction,"Lewiston, ID",719385551
1105,https://www.kickstarter.com/projects/medievalchampion/medieval-champion-extended-halloween-expansion?ref=discovery_popular,Medieval Champion Reprint + Halloween Expansion,"Medieval Champion is a fast paced dueling card game for 2-4 players. Defeat your opponents with combat, magic, treasure and trickery!",Tabletop Games,"Sarnia, Canada",993940075
1106,https://www.kickstarter.com/projects/mochiville/pretty-punny?ref=discovery_popular,Pretty Punny Enamel Pins,An Enamel Pin Series,Art,"Newmarket, Canada",1216789158
1107,https://www.kickstarter.com/projects/peacasa/peacasa-chickpea-chips?ref=discovery_popular,PEACASA Chickpea Chips,"Mediterranean Chickpea Chips by PEACASA! Delicious, healthy, and high in plant protein. CHECK OUT OUR VIDEO BELOW!",Small Batch,"Toronto, Canada",1643760425
1108,https://www.kickstarter.com/projects/davidwalshbowlmaker/david-walsh-bowlmaker-fine-wooden-bowls-spring-2020?ref=discovery_popular,"David Walsh, Bowlmaker, Fine Wooden Bowls Spring 2020",Featuring bowls made from Australian wood!,Sculpture,"York, PA",1541490478
1109,https://www.kickstarter.com/projects/dreamphography/small-cars-with-big-imagination?ref=discovery_popular,Small Cars with Big Imagination.,Miniature Photography Tutorial and High Resolution Artworks for download.,Photography,"Cancun, Mexico",1900194115
1110,https://www.kickstarter.com/projects/dansehn/big-house-blues-the-squad-dual-kickstarter?ref=discovery_popular,"""BIG HOUSE BLUES / THE SQUAD"" Dual Kickstarter",Super-Villains in a mega-prison in one book. Super-Heroes from Ireland in a second book. 2 books that are sure to entertain everyone!,Comic Books,"West Babylon, NY",2075770448
1111,https://www.kickstarter.com/projects/exolansis/rainbow-monkey-ita-backpack?ref=discovery_popular,Rainbow Monkey ITA Backpack,Operation: I.T.A.B.A.G - Nostalgic backpack for displaying/protecting your plans to dismantle adult tyranny!!,Accessories,"Long Island, NY",1674928415
1112,https://www.kickstarter.com/projects/madgicalproductions/celeste-galactic-deck-building-game?ref=discovery_popular,Celeste:Galactic Deck Building Game,"Build Your Forces in this 2-4 player sci-fi deck building game where you build up your base with units, upgrades, and buildings.",Tabletop Games,"Gilbert, AZ",84459770
1113,https://www.kickstarter.com/projects/dakodils/enemies-to-lovers?ref=discovery_popular,Enemies to Lovers,A She-Ra Hard Enamel Pin Series,Art,"Bradenton, FL",986663293
1114,https://www.kickstarter.com/projects/thi-chao/moon-kitty-ita-bag-project?ref=discovery_popular,Moon Kitty Ita Bag Project,A crossbody bag or backpack faced with a front crescent moon shaped window for enamel pins or plushes in the form of a Kitty.,Accessories,"Vancouver, Canada",1236312965
1115,https://www.kickstarter.com/projects/sexpositions/sex-positions-a-party-game?ref=discovery_popular,Sex Positions... A Party Game,How Deep Will You Go?,Tabletop Games,"Vancouver, Canada",2028485049
1116,https://www.kickstarter.com/projects/slydehandboards/gotcha-the-return-of-californias-original-surf-icon?ref=discovery_popular,Gotcha: The Return of California's Original Surf Icon,Rebuilding 80's/90's Pop Culture Legend: Gotcha,Product Design,"San Clemente, CA",1354408439
1117,https://www.kickstarter.com/projects/thrashers/chromosome-21-comics-presents-thrashers?ref=discovery_popular,Chromosome 21 Comics Presents Thrashers,Thrashers is a Sci-Metal-Fi Retro Comic Books series,Comic Books,"Benbrook, TX",2126189774
1118,https://www.kickstarter.com/projects/hyperversecomics/nothing-man-5-second-chance-campaign?ref=discovery_popular,Nothing-man #5 - SECOND CHANCE CAMPAIGN!!!,"Supremous becomes even more powerful, Chaotika is off the hook, and Nothing-man finally remembers everything!!! 2nd chance campaign!",Comic Books,"Virginia Beach, VA",1619795821
1119,https://www.kickstarter.com/projects/fency/fency-optimize-your-desk-usability?ref=discovery_popular,Fency: Optimize Your Desk Usability,"A specially designed fence that allows you to make full use of your desk, by preventing things from falling off the edges.",Product Design,"San Francisco, CA",1854566179
