,project_id,lat,lng
0,256941264,22.544267,114.054533
1,374051904,42.892784,-78.676417
2,1193350172,40.713054,-74.007228
3,748081064,25.775084,-80.194702
4,433085097,41.913374,-88.315573
5,1774324319,42.358894,-71.056742
6,1158852071,35.72718,-78.854148
7,1988211895,43.651893,-79.381713
8,1709033713,33.215533,-97.13245
9,1897919106,51.108978,17.032669
10,1706943935,34.052238,-118.243344
11,1849444403,34.052238,-118.243344
12,421037108,52.517037,13.38886
13,1255018306,38.772886,-75.140683
14,1469797223,37.373676,-122.036572
15,1238873268,41.38256,2.177135
16,23152778,39.951061,-75.16562
17,1721395159,51.50015,-0.12624
18,575271961,50.691589,3.174173
19,292832566,43.651893,-79.381713
20,142016465,39.099792,-94.578559
21,125859400,39.962649,-82.996216
22,1239686031,34.095162,-118.126842
23,562276553,51.50015,-0.12624
24,341261114,34.052238,-118.243344
25,1194621676,51.222206,6.912324
26,1213338921,44.795434,-106.955897
27,1151897659,47.996033,-4.102478
28,378747734,48.192309,16.371364
29,329162738,51.50015,-0.12624
30,785030900,44.841223,-0.580022
31,215730319,56.673983,12.857483
32,1799943883,33.659775,-117.999313
33,1323667743,35.333521,139.549376
34,1743386796,39.660057,-75.560876
35,780006612,43.651893,-79.381713
36,270622267,34.052238,-118.243344
37,1919358994,-41.288764,174.777224
38,1944804664,40.692529,-73.990996
39,1517330657,34.052238,-118.243344
40,1382314043,22.264412,114.167061
41,407185063,37.352395,-121.953076
42,1280271002,-34.928634,138.599888
43,1467542810,34.052238,-118.243344
44,2097748129,22.544267,114.054533
45,1069816081,33.748547,-84.391502
46,2119547530,53.430212,14.550978
47,1313878870,59.330761,18.06131
48,1970274571,48.856506,2.352133
49,1428418415,51.39471,-0.73639
50,39900536,34.080294,-118.404679
51,1147057510,37.566601,127.0
52,1446671987,40.116328,-88.243522
53,74599621,39.681656,-75.753614
54,352210887,50.904449,7.401753
55,1316379147,51.50015,-0.12624
56,1409132587,40.713054,-74.007228
57,31718080,-32.60148,151.616138
58,662157087,43.041072,-87.909421
59,446513779,51.50015,-0.12624
60,7922504,45.509062,-73.553363
61,2037927707,4.598048,-74.076087
62,2023975432,34.2367,-77.946197
63,374785399,40.758478,-111.888142
64,98211323,43.651893,-79.381713
65,1183081294,41.893344,12.483072
66,1882083597,52.4776,-2.03981
67,427967675,25.037638,121.564459
68,224052425,51.50015,-0.12624
69,1923400131,33.748547,-84.391502
70,2071684195,40.692529,-73.990996
71,1669984917,52.517037,13.38886
72,428944339,59.330761,18.06131
73,2031182666,22.264412,114.167061
74,1345375525,29.760803,-95.369506
75,93028791,42.457067,-71.673784
76,688664511,51.39016,-2.43625
77,1972917609,39.161912,-75.524704
78,1927900629,44.493671,11.343035
79,999096620,41.222761,-111.970419
80,1070469355,46.30345,4.832507
81,245959053,40.713054,-74.007228
82,1602201731,39.290443,-76.612333
83,2127496022,40.713054,-74.007228
84,1973270418,49.148089,-0.598307
85,843160452,46.782882,-92.105457
86,834529356,38.903484,-77.262818
87,975435216,52.231924,21.006727
88,40736229,37.656667,-121.878923
89,1401134515,37.39008,-122.08139
90,451006338,34.052238,-118.243344
91,591865170,27.947423,-82.458776
92,52093272,40.713054,-74.007228
93,1944209846,41.38256,2.177135
94,1063410034,52.57693,-0.30518
95,315155369,59.330761,18.06131
96,2125680802,22.544267,114.054533
97,1770512919,41.38256,2.177135
98,1882205910,51.22111,4.399708
99,558711776,43.651893,-79.381713
100,29982071,22.264412,114.167061
101,1267026621,53.48071,-2.23438
102,127406154,46.555628,15.64477
103,939988045,51.046362,-114.05803
104,1685580009,47.603229,-122.33028
105,228818156,40.416705,-3.703583
106,318188028,51.50015,-0.12624
107,1154515280,39.649436,-104.98891
108,2147283197,22.264412,114.167061
109,491567983,45.631061,-122.671567
110,1532868204,22.264412,114.167061
111,1327426745,53.80924,-1.72428
112,113061551,39.469901,-0.375951
113,963109029,43.651893,-79.381713
114,1231028477,39.142187,-77.193402
115,67388287,40.758478,-111.888142
116,252416231,1.290453,103.852038
117,194383029,34.052238,-118.243344
118,2142947846,29.794857,-95.816531
119,1775094193,49.263566,-123.138572
120,1700912685,37.78008,-122.420168
121,2017886013,40.713054,-74.007228
122,1448747951,39.744432,-75.5451
123,1368255520,53.546135,-113.491213
124,2062262907,33.767168,-118.193723
125,260164916,51.54399,0.00169
126,707374949,22.264412,114.167061
127,1610074604,-33.928905,18.417249
128,850919392,47.618645,-65.649675
129,83985592,51.50015,-0.12624
130,359814856,48.856506,2.352133
131,59746464,52.25019,0.71384
132,393914275,34.098301,-118.325798
133,876623115,37.334807,-121.888128
134,580090499,51.507322,-0.127647
135,854102932,55.03957,-1.56925
136,530241441,41.38256,2.177135
137,1824759594,40.758478,-111.888142
138,848747332,43.041072,-87.909421
139,370705383,51.50015,-0.12624
140,1539478684,52.19697,-1.04484
141,866946931,50.444519,18.855476
142,21632226,54.84096,-1.54287
143,594874978,55.686724,12.570069
144,1377311403,35.084248,-106.649241
145,1240770500,51.50015,-0.12624
146,1153626580,52.231924,21.006727
147,729104947,32.640071,-117.084042
148,209599318,47.918468,106.917702
149,1153675563,40.713054,-74.007228
150,632552919,40.442169,-79.994945
151,349186833,53.92481,-1.53277
152,626102641,40.692529,-73.990996
153,1316390692,39.290443,-76.612333
154,611249794,48.856506,2.352133
155,1131084395,34.052238,-118.243344
156,691828177,34.052238,-118.243344
157,1670488420,38.630276,-90.200309
158,647005204,55.585523,11.244414
159,2080714919,1.290453,103.852038
160,1844941261,36.169202,-115.140597
161,673765219,37.78008,-122.420168
162,2038622219,45.07092,7.685972
163,1756431015,24.163292,120.64791
164,577767528,43.651893,-79.381713
165,2131943868,51.50015,-0.12624
166,961657964,57.637936,18.297982
167,2090478499,29.425173,-98.494599
168,1408932703,34.052238,-118.243344
169,1198601238,42.326401,-71.400002
170,1364902150,34.052238,-118.243344
171,1149336040,42.422372,-76.461572
172,959525614,51.50015,-0.12624
173,1705278338,53.546135,-113.491213
174,324280277,35.373405,-119.018911
175,1152335627,38.251488,-122.049851
176,564536812,56.3181,-2.70414
177,678659565,34.052238,-118.243344
178,1977177512,46.049865,14.506892
179,430515936,40.442169,-79.994945
180,45270179,39.649436,-104.98891
181,1740554502,22.264412,114.167061
182,1805309338,49.263566,-123.138572
183,1161752566,59.437216,24.745369
184,647651357,51.50015,-0.12624
185,1948226465,32.080481,34.780527
186,1820751873,41.505546,-81.6915
187,1268367721,42.525857,-71.760142
188,1175774810,40.713054,-74.007228
189,623142981,22.264412,114.167061
190,920295925,32.790438,-79.8765
191,2067254510,32.71576,-117.163817
192,1195762008,51.50015,-0.12624
193,1402908657,51.50015,-0.12624
194,1949440126,34.052238,-118.243344
195,703188036,42.358894,-71.056742
196,511661122,52.517037,13.38886
197,955060886,44.817879,20.456809
198,1408437174,42.262073,-71.802278
199,186177193,51.39016,-2.43625
200,971445610,40.831681,-75.70839
201,1819884998,34.052238,-118.243344
202,1730212487,42.358894,-71.056742
203,1993308544,33.448204,-112.072585
204,1971417368,38.297242,-122.289405
205,2105160399,34.052238,-118.243344
206,1124200556,39.953394,-74.198149
207,1493467162,22.27916,114.19016
208,1049675999,59.330761,18.06131
209,1209469147,53.7197,-1.62896
210,618721385,22.264412,114.167061
211,1526205735,43.611242,3.876734
212,1803018326,43.769871,11.255576
213,765907418,48.115278,-122.75445
214,1508313179,42.024922,2.879525
215,1932576582,51.213074,4.249424
216,691325831,36.20401,-81.669431
217,518478339,53.48071,-2.23438
218,339585824,30.264979,-97.746598
219,1134856683,32.777977,-96.796215
220,737645014,41.869274,2.41727
221,1362064062,40.713054,-74.007228
222,40214790,38.630276,-90.200309
223,1425329817,51.55391,0.05665
224,1489877183,-37.814255,144.963146
225,1955037305,48.13641,11.57753
226,1376306706,39.760982,-84.192203
227,1929062368,48.856506,2.352133
228,885106140,52.371009,4.900112
229,2103449899,51.50015,-0.12624
230,614081504,-38.382624,142.481419
231,464711241,40.713054,-74.007228
232,1527887898,42.965446,-85.670209
233,1892452780,33.748547,-84.391502
234,854989663,49.263566,-123.138572
235,1956175932,34.052238,-118.243344
236,1752772939,43.281492,2.085571
237,1270594295,51.507322,-0.127647
238,1260124804,43.651893,-79.381713
239,1092516563,38.165463,-76.533899
240,876876486,51.194698,6.435364
241,362893001,38.303297,-77.460658
242,1188113847,42.26547,-72.669022
243,627464795,36.845117,-75.975518
244,1277934562,54.37553,-1.73432
245,194881290,48.38251,-89.245486
246,1713064119,31.554692,-110.281995
247,281109096,39.951061,-75.16562
248,2088756239,37.78008,-122.420168
249,24027617,28.538331,-81.378879
250,643147815,38.297242,-122.289405
251,333709360,32.777977,-96.796215
252,1659146784,34.052238,-118.243344
253,1862711940,52.442683,12.771218
254,1494893605,55.686724,12.570069
255,476297496,46.206736,-119.769211
256,1420734654,40.376761,-111.795867
257,319283927,44.977479,-93.264346
258,910688860,52.517037,13.38886
259,1199921635,49.263566,-123.138572
260,508577305,34.052238,-118.243344
261,2067083805,51.507322,-0.127647
262,1019612496,29.582247,-81.214912
263,380688057,50.449988,30.523494
264,1010744379,51.50015,-0.12624
265,620421222,51.41178,-3.24367
266,811926054,53.39462,-2.66302
267,766809278,53.80924,-1.72428
268,1064827845,22.264412,114.167061
269,1898310990,30.775533,-85.239053
270,1099088876,22.264412,114.167061
271,1225602906,34.414144,-118.554192
272,638564534,48.856506,2.352133
273,1612015953,34.022251,-117.955183
274,1652264343,47.530072,-122.032904
275,38579373,51.50015,-0.12624
276,915629727,41.724109,-81.245167
277,1555523981,51.92385,-0.45885
278,1222268368,43.651893,-79.381713
279,2002970022,55.04423,-1.49304
280,1881115016,51.250559,22.570102
281,40077266,37.884487,-4.779502
282,1263911406,51.50015,-0.12624
283,386214329,53.546135,-113.491213
284,104194349,40.758478,-111.888142
285,2108256238,43.651893,-79.381713
286,2116011561,22.264412,114.167061
287,615403571,37.672111,-122.083963
288,599591799,51.50015,-0.12624
289,1232707271,37.99238,-1.130543
290,1315639914,51.50015,-0.12624
291,2143520275,45.516018,-122.681425
292,489493058,36.10294,-79.506717
293,1771586004,39.711213,-104.819356
294,207061157,51.088195,3.41768
295,1154877208,54.78124,-1.53256
296,1955850391,41.883229,-87.632398
297,1513501615,38.577896,-92.187689
298,857914980,52.06566,-0.77164
299,519254919,-33.713759,150.312163
300,1157050939,43.041072,-87.909421
301,1774309614,52.4776,-2.03981
302,114123606,27.947423,-82.458776
303,646213659,52.371009,4.900112
304,1479021464,45.466797,9.190498
305,1836714403,22.264412,114.167061
306,414307665,22.264412,114.167061
307,380630894,36.612836,138.349349
308,881269531,48.192309,16.371364
309,1686361,47.733346,-122.644161
310,2089621665,40.692529,-73.990996
311,258110470,55.686724,12.570069
312,1849056287,55.83949,-4.22796
313,814477982,34.052238,-118.243344
314,1722856175,25.037638,121.564459
315,1283893407,40.826153,-73.920265
316,728601756,39.951061,-75.16562
317,1659472224,40.758478,-111.888142
318,2015784598,38.031046,-78.474159
319,1220190269,51.225196,6.773751
320,1068757549,37.78008,-122.420168
321,1704049792,50.72739,-3.55209
322,1220932034,42.925592,-71.187145
323,757494822,56.359027,8.616255
324,1824553936,34.052238,-118.243344
325,2115895369,1.290453,103.852038
326,1513644157,42.965446,-85.670209
327,498149813,39.962649,-82.996216
328,300040240,40.692529,-73.990996
329,209915152,40.512715,-75.549535
330,1132327090,32.71576,-117.163817
331,2086872414,-33.854816,151.216454
332,43084759,47.603229,-122.33028
333,1935683295,53.48071,-2.23438
334,460584000,45.516018,-122.681425
335,963254700,38.847183,-77.306292
336,53364124,45.420421,-75.692432
337,2047084002,34.286321,-118.712804
338,5648690,55.686724,12.570069
339,1968267689,54.78311,-1.52317
340,563675511,37.352395,-121.953076
341,268411878,32.71576,-117.163817
342,849006963,49.900496,-97.139309
343,1841122138,19.300728,97.964917
344,52454022,52.37738,-1.49279
345,1807087169,36.169202,-115.140597
346,1585642069,47.322563,5.04118
347,809039637,31.225344,121.488892
348,316550699,34.086058,-81.183247
349,1498297606,47.603229,-122.33028
350,1505277360,59.913269,10.739111
351,1494376239,45.466797,9.190498
352,1254202364,44.943719,-93.094281
353,1162144622,48.856506,2.352133
354,1745292830,47.754466,-122.163237
355,1842607761,33.961767,-118.353336
356,1443516203,30.325968,-81.65676
357,1424432578,44.977479,-93.264346
358,847704808,44.019331,-92.458867
359,305444630,32.492474,131.619586
360,1459973818,29.950621,-90.074948
361,1696603292,35.680071,139.768522
362,64284283,43.047945,-76.147448
363,191363398,36.312475,-119.707024
364,1158029081,47.658999,-117.425022
365,1670251538,52.19697,-1.04484
366,607556941,36.169202,-115.140597
367,473217390,52.4223,-1.73202
368,1354955382,30.264979,-97.746598
369,581765044,50.39119,-4.07788
370,2055414879,22.264412,114.167061
371,1650423243,51.50015,-0.12624
372,943248546,39.104427,-84.513808
373,455430392,32.08059,-81.090103
374,638439283,48.481266,-89.323622
375,1942000877,30.264979,-97.746598
376,1628062380,33.583578,-101.855113
377,1055906813,37.78008,-122.420168
378,2044421987,52.40823,16.933364
379,1489028382,51.28325,-0.62497
380,658384730,34.052238,-118.243344
381,1792833985,25.037638,121.564459
382,207334124,43.651893,-79.381713
383,5762201,-37.814255,144.963146
384,233399776,51.50015,-0.12624
385,1888537679,37.78008,-122.420168
386,2058768699,41.895299,-84.039815
387,870752846,43.651893,-79.381713
388,1194050890,37.215521,-93.292361
389,1044404777,33.685908,-117.824719
390,1700128575,46.088878,-64.775822
391,313633774,36.196549,-119.343523
392,1485039499,32.777977,-96.796215
393,321104489,53.550341,10.000654
394,556736158,59.330761,18.06131
395,308107436,41.883229,-87.632398
396,1508765189,37.540759,-77.433932
397,1154115059,-34.928634,138.599888
398,938061652,47.035534,-122.900827
399,1678854218,33.501871,-117.662766
400,324258591,52.517037,13.38886
